Title Number,Tenure,Property Address,District,County,Region,Postcode,Multiple Address Indicator,Price Paid,Proprietor Name (1),Company Registration No. (1),Proprietorship Category (1),Country Incorporated (1),Proprietor (1) Address (1),Proprietor (1) Address (2),Proprietor (1) Address (3),Proprietor Name (2),Company Registration No. (2),Proprietorship Category (2),Country Incorporated (2),Proprietor (2) Address (1),Proprietor (2) Address (2),Proprietor (2) Address (3),Proprietor Name (3),Company Registration No. (3),Proprietorship Category (3),Country Incorporated (3),Proprietor (3) Address (1),Proprietor (3) Address (2),Proprietor (3) Address (3),Proprietor Name (4),Company Registration No. (4),Proprietorship Category (4),Country Incorporated (4),Proprietor (4) Address (1),Proprietor (4) Address (2),Proprietor (4) Address (3),Date Proprietor Added,Additional Proprietor Indicator
"K789419","Freehold","land on the north side of Highstreet Road, Hernhill, Faversham","CANTERBURY","KENT","SOUTH EAST","","N","","ORCHID MARKETING FZE","","Unlimited Company","FUJAIRAH","Boulevard Plaza Tower One, Emaar Boulevard, Level 14 Downtown Dubai, P.O. Box 334155, Dubai, United Arab Emirates","","","","","","","","","","","","","","","","","","","","","","","","30-11-2017","N"
"K798803","Freehold","Unit 2015, Admirals Park, Crossways, Dartford, (DA2 6QH)","DARTFORD","KENT","SOUTH EAST","DA2 6QH","N","","STANDARD LIFE INVESTMENTS PROPERTY HOLDINGS LIMITED","","Limited Company or Public Limited Company","GUERNSEY","Trafalgar Court, Les Banques, St Peter Port, Guernsey","","","","","","","","","","","","","","","","","","","","","","","","02-09-2015","N"
"K800489","Freehold","86 Station Road West, Canterbury (CT2 8AN)","CANTERBURY","KENT","SOUTH EAST","CT2 8AN","N","121500","JOAN FLOYD PROPERTIES LIMITED","","Limited Company or Public Limited Company","ISLE OF MAN","First Floor, Millenium House, Victoria Road, Douglas, Isle Of Man, IM2 4RW","86 Station Road West, Canterbury, Kent CT2 8AN","","","","","","","","","","","","","","","","","","","","","","","18-09-2009","N"
"K805038","Freehold","44, 45 and 46 The Grove, and 83, 84 and 85 Edwin Street, Gravesend","GRAVESHAM","KENT","SOUTH EAST","","N","","LALI ENTERPRISES LIMITED","","Limited Company or Public Limited Company","LIBERIA","Stirling House, 2/2A Fulborne Road, London E17 4EW","","","","","","","","","","","","","","","","","","","","","","","","20-02-2003","N"
"K809548","Leasehold","Site B3, Pembroke, Chatham Maritime, Chatham","MEDWAY","MEDWAY","SOUTH EAST","","N","","PICTON PROPERTY NOMINEE (NO.5) LIMITED","","Limited Company or Public Limited Company","GUERNSEY","PO Box 255, Trafalgar Court, Les Banques, St Peter Port, GY1 3QL, Guernsey","First Floor, 28 Austin Friars, London EC2N 2QQ","","PICTON PROPERTY NOMINEE (NO.6) LIMITED","","Limited Company or Public Limited Company","GUERNSEY","PO Box 255, Trafalgar Court, Les Banques, St Peter Port, GY1 3QL, Guernsey","First Floor, 28 Austin Friars, London EC2N 2QQ","","","","","","","","","","","","","","","","08-01-2018","N"
"K810113","Freehold","Lots 3 And 4, Seven Mile Lane, East Peckham, Tonbridge","TONBRIDGE AND MALLING","KENT","SOUTH EAST","","N","","SOUTHERN QUEST (INTERNATIONAL) LIMITED","","Limited Company or Public Limited Company","GIBRALTAR","Kinnerton Place North, London SW1X 8EJ","5 New Street Square, London EC4A 3TW","","","","","","","","","","","","","","","","","","","","","","","10-04-2000","N"
"K814637","Freehold","Land on the south side of 21 Prospect Place, Canterbury, (CT1 3JU)","CANTERBURY","KENT","SOUTH EAST","CT1 3JU","N","","ELTREE HOLDINGS PTY LIMITED","","Limited Company or Public Limited Company","AUSTRALIA","21 Prospect Place, Canterbury CT1 3JU","","","","","","","","","","","","","","","","","","","","","","","","07-09-2018","N"
"K816557","Freehold","Priory Court, St Johns Road, Dover (CT17 9SE)","DOVER","KENT","SOUTH EAST","CT17 9SE","N","","MAPELEY STEPS LIMITED","","Limited Company or Public Limited Company","BERMUDA","Cambridge House, 47 Clarendon Road, Watford WD17 1HN","","","","","","","","","","","","","","","","","","","","","","","","23-05-2001","N"
"K819381","Freehold","land at Crossways Business Park, Crossways, Dartford","DARTFORD","KENT","SOUTH EAST","","N","6470000","UK COMMERCIAL PROPERTY FINANCE HOLDINGS LIMITED","","Limited Company or Public Limited Company","GUERNSEY","P.O. Box 255, Trafalgar Court, Les Banques, St Peter Port, Guernsey, GY1 3QL","1 George Street, Edinburgh EH2 2LL","","","","","","","","","","","","","","","","","","","","","","","09-07-2018","N"
"K819914","Leasehold","2 Orient Place, Canterbury and parking space (CT2 8AW)","CANTERBURY","KENT","SOUTH EAST","CT2 8AW","N","","BESTWORTH LIMITED","","Limited Company or Public Limited Company","CYPRUS","City House, 6 Karaiskaki Street, CY 3032, Cyprus","","","","","","","","","","","","","","","","","","","","","","","","29-05-2014","N"
