Title Number,Tenure,Property Address,District,County,Region,Postcode,Multiple Address Indicator,Price Paid,Proprietor Name (1),Company Registration No. (1),Proprietorship Category (1),Proprietor (1) Address (1),Proprietor (1) Address (2),Proprietor (1) Address (3),Proprietor Name (2),Company Registration No. (2),Proprietorship Category (2),Proprietor (2) Address (1),Proprietor (2) Address (2),Proprietor (2) Address (3),Proprietor Name (3),Company Registration No. (3),Proprietorship Category (3),Proprietor (3) Address (1),Proprietor (3) Address (2),Proprietor (3) Address (3),Proprietor Name (4),Company Registration No. (4),Proprietorship Category (4),Proprietor (4) Address (1),Proprietor (4) Address (2),Proprietor (4) Address (3),Date Proprietor Added,Additional Proprietor Indicator
"13072","Freehold","Land lying to the north-west of Cornish Arms, Pendoggett, St Kew, Bodmin (PL30 3HH)","CORNWALL","CORNWALL","SOUTH WEST","PL30 3HH","N","","FORE INVESTMENTS (UK) LIMITED","10257552","Limited Company or Public Limited Company","20-22 Wenlock Road, London N1 7GU","","","","","","","","","","","","","","","","","","","","","30-10-2017","N"
"13188","Freehold","part of the Links Estate which Estate was formerly part of the Furzedown Estate","MERTON","GREATER LONDON","GREATER LONDON","","N","","THE SELECTED ESTATES COMPANY LIMITED","","Limited Company or Public Limited Company","31 Walbrook EC","","","","","","","","","","","","","","","","","","","","","17-04-1912","N"
"13323","Freehold","land lying to the north of Clynnog Fawr, Caernarfon","GWYNEDD","GWYNEDD","WALES","","N","","THE COUNTY COUNCIL OF THE ADMINISTRATIVE COUNTY OF CAERNARVON","","County Council","Shirehall Street, Carnarvon","","","","","","","","","","","","","","","","","","","","","19-06-1912","N"
"13494","Freehold","Marton Farm and The Butts, Baschurch, (SY4 2BZ)","SHROPSHIRE","SHROPSHIRE","WEST MIDLANDS","SY4 2BZ","N","","SHROPSHIRE COUNCIL","","Local Authority","Legal Services, Shropshire Council, The Shirehall, Abbey Foregate, Shrewsbury, Shropshire SY2 6ND","","","","","","","","","","","","","","","","","","","","","28-04-2009","N"
"13548","Freehold","land on the North side of Bath Road, Bristol","CITY OF BRISTOL","CITY OF BRISTOL","SOUTH WEST","","N","","THE CITY COUNCIL OF BRISTOL","","Local Authority","City Hall, College Green, Bristol BS1 5TR","","","","","","","","","","","","","","","","","","","","","24-12-2004","N"
"13554","Freehold","Land at Farcet","CAMBRIDGE","CAMBRIDGESHIRE","EAST ANGLIA","","N","","HUNTINGDON COUNTY COUNCIL","","Local Authority","80 High Street, Huntingdon","","","","","","","","","","","","","","","","","","","","","22-10-1912","N"
"13576","Freehold","land at Bury Farm, Fishweir, Stewkley, Leighton Buzzard (LU7 0HB)","AYLESBURY VALE","BUCKINGHAMSHIRE","SOUTH EAST","LU7 0HB","N","","BUCKINGHAMSHIRE COUNTY COUNCIL","","County Council","The County Hall, Aylesbury, Bucks","","","","","","","","","","","","","","","","","","","","","","N"
"13803","Freehold","Land lying to the North of Church Hill, Beoley","BROMSGROVE","WORCESTERSHIRE","WEST MIDLANDS","","N","","THE INCUMBENT OF THE PARISH OF ST LEONARDS","","Corporate Body","St Leonards, Beoley, Worcs and his successors","","","","","","","","","","","","","","","","","","","","","04-02-1913","N"
"13805","Freehold","Land on the south side of Sweet Hill Drove, Coveney, Ely","EAST CAMBRIDGESHIRE","CAMBRIDGESHIRE","EAST ANGLIA","","N","","CAMBRIDGESHIRE COUNTY COUNCIL","","County Council","Shire Hall, Castle Hill, Cambridge CB3 0AP","","","","","","","","","","","","","","","","","","","","","18-04-1979","N"
"14097","Freehold","Land on East side of Batch Road","SEDGEMOOR","SOMERSET","SOUTH WEST","","N","","SOMERSET COUNTY COUNCIL","","County Council","County Hall, Taunton, Somerset","","","","","","","","","","","","","","","","","","","","","28-09-1978","N"
